iter	Passed	Remaining
184	2012	8866
185	2028	8877
186	2046	8896
187	2061	8905
188	2077	8912
189	2090	8912
190	2102	8903
191	2115	8900
192	2122	8876
193	2132	8861
194	2149	8875
195	2166	8885
196	2179	8882
197	2184	8847
198	2190	8817
199	2203	8815
200	2214	8802
201	2220	8771
202	2229	8753
203	2245	8761
204	2259	8761
205	2277	8778
206	2287	8762
207	2294	8735
208	2297	8694
209	2307	8678
210	2316	8663
211	2329	8658
212	2345	8665
213	2361	8673
214	2367	8645
215	2378	8631
216	2388	8616
217	2394	8590
218	2409	8591
219	2419	8576
220	2421	8536
221	2423	8494
222	2443	8512
223	2454	8504
224	2468	8503
225	2478	8489
226	2488	8474
227	2501	8470
228	2527	8510
229	2547	8527
230	2568	8549
231	2592	8581
232	2607	8583
233	2628	8605
234	2649	8624
235	2657	8601
236	2670	8597
237	2688	8606
238	2704	8612
239	2720	8614
240	2726	8587
241	2736	8570
242	2739	8533
243	2749	8517
244	2765	8523
245	2785	8537
246	2807	8557
247	2826	8572
248	2832	8544
249	2842	8526
250	2851	8509
251	2865	8506
252	2885	8518
253	2901	8522
254	2911	8507
255	2913	8467
256	2919	8439
257	2922	8405
258	2932	8391
259	2940	8367
260	2961	8384
261	2968	8360
262	2980	8352
263	2990	8336
264	3010	8350
265	3035	8376
266	3042	8351
267	3051	8335
268	3068	8338
269	3082	8333
270	3089	8309
271	3109	8321
272	3129	8333
273	3143	8329
274	3159	8329
275	3177	8334
276	3191	8330
277	3205	8325
278	3214	8307
279	3230	8307
280	3250	8315
281	3265	8315
282	3272	8290
283	3288	8291
284	3298	8274
285	3317	8281
286	3336	8288
287	3350	8282
288	3372	8296
289	3381	8278
290	3401	8286
291	3422	8298
292	3436	8292
293	3459	8306
294	3486	8331
295	3499	8322
296	3514	8318
297	3543	8347
298	3548	8319
299	3567	8324
300	3583	8322
301	3597	8313
302	3613	8313
303	3624	8297
304	3643	8301
305	3660	8301
306	3677	8300
307	3693	8298
308	3703	8282
309	3713	8264
310	3730	8263
311	3747	8263
312	3757	8247
313	3773	8244
314	3795	8253
315	3814	8256
316	3832	8256
317	3846	8249
318	3868	8257
319	3887	8261
320	3900	8251
321	3920	8254
322	3943	8265
323	3965	8273
324	3975	8256
325	3984	8238
326	4004	8240
327	4013	8223
328	4029	8219
329	4050	8223
330	4061	8208
331	4080	8210
332	4100	8212
333	4116	8208
334	4135	8210
335	4157	8215
336	4171	8206
337	4191	8209
338	4201	8192
339	4211	8175
340	4231	8176
341	4241	8160
342	4257	8155
343	4264	8131
344	4283	8131
345	4299	8126
346	4312	8115
347	4330	8113
348	4338	8091
349	4352	8082
350	4369	8079
351	4385	8073
352	4404	8072
353	4420	8066
354	4433	8055
355	4447	8045
356	4458	8030
357	4475	8025
358	4491	8018
359	4510	8018
360	4526	8013
361	4541	8003
362	4548	7982
363	4574	7993
364	4587	7980
365	4596	7962
366	4617	7964
367	4636	7962
368	4665	7978
369	4680	7969
370	4700	7969
371	4718	7966
372	4729	7949
373	4745	7943
374	4766	7943
375	4779	7932
376	4793	7920
377	4802	7903
378	4823	7903
379	4830	7881
380	4850	7880
381	4869	7878
382	4891	7880
383	4901	7863
384	4914	7850
385	4933	7847
386	4952	7844
387	4969	7838
388	4982	7826
389	4996	7814
390	5009	7802
391	5026	7795
392	5044	7791
393	5064	7788
394	5086	7790
395	5097	7775
396	5114	7768
397	5121	7745
398	5141	7743
399	5148	7722
400	5176	7733
401	5204	7741
402	5230	7748
403	5263	7764
404	5287	7767
405	5298	7751
406	5323	7756
407	5351	7765
408	5364	7750
409	5392	7759
410	5421	7768
411	5447	7774
412	5464	7767
413	5490	7771
414	5518	7779
415	5534	7769
416	5549	7759
417	5573	7759
418	5597	7761
419	5613	7751
420	5616	7724
421	5634	7717
422	5653	7712
423	5685	7723
424	5713	7730
425	5734	7726
426	5762	7732
427	5782	7727
428	5804	7726
429	5827	7725
430	5831	7699
431	5850	7691
432	5863	7677
433	5872	7659
434	5891	7652
435	5907	7641
436	5923	7631
437	5940	7622
438	5957	7612
439	5960	7586
440	5980	7580
441	5999	7574
442	6021	7571
443	6032	7554
444	6052	7548
445	6069	7538
446	6081	7524
447	6101	7518
448	6120	7511
449	6133	7496
450	6147	7483
451	6157	7465
452	6175	7456
453	6193	7448
454	6212	7441
455	6232	7435
456	6251	7427
457	6261	7409
458	6282	7404
459	6302	7398
460	6318	7388
461	6328	7369
462	6348	7362
463	6359	7345
464	6375	7335
465	6390	7323
466	6411	7317
467	6418	7295
468	6435	7286
469	6442	7265
470	6456	7251
471	6476	7244
472	6482	7222
473	6500	7213
474	6519	7205
475	6526	7184
476	6542	7173
477	6557	7160
478	6570	7146
479	6592	7141
480	6602	7124
481	6620	7114
482	6639	7107
483	6657	7097
484	6677	7090
485	6683	7068
486	6699	7057
487	6719	7050
488	6735	7039
489	6741	7016
490	6749	6997
491	6753	6973
492	6776	6968
493	6784	6948
494	6798	6935
495	6812	6921
496	6825	6907
497	6840	6895
498	6850	6877
499	6868	6868
500	6886	6858
501	6903	6848
502	6928	6845
503	6954	6843
504	6973	6835
505	6994	6829
506	7011	6818
507	7032	6811
508	7042	6793
509	7063	6786
510	7079	6774
511	7099	6766
512	7112	6751
513	7129	6740
514	7141	6725
515	7163	6719
516	7171	6699
517	7185	6686
518	7197	6670
519	7207	6652
520	7223	6640
521	7238	6628
522	7255	6617
523	7276	6609
524	7296	6601
525	7321	6598
526	7325	6575
527	7332	6555
528	7349	6543
529	7365	6531
530	7382	6520
531	7400	6509
532	7419	6500
533	7436	6489
534	7448	6473
535	7451	6450
536	7471	6442
537	7492	6434
538	7513	6425
539	7534	6417
540	7547	6403
541	7566	6394
542	7586	6384
543	7603	6373
544	7616	6358
545	7637	6350
546	7653	6337
547	7673	6329
548	7696	6322
549	7709	6307
550	7728	6298
551	7747	6287
552	7764	6275
553	7780	6263
554	7792	6248
555	7812	6239
556	7831	6228
557	7838	6208
558	7850	6193
559	7865	6180
560	7882	6168
561	7898	6155
562	7911	6140
563	7924	6126
564	7942	6114
565	7957	6101
566	7973	6088
567	7983	6071
568	8002	6061
569	8011	6044
570	8024	6029
571	8042	6017
572	8048	5997
573	8067	5987
574	8088	5978
575	8096	5959
576	8113	5948
577	8133	5938
578	8143	5921
579	8161	5909
580	8181	5900
581	8197	5887
582	8218	5878
583	8234	5865
584	8248	5851
585	8263	5837
586	8284	5829
587	8295	5812
588	8316	5803
589	8334	5791
590	8346	5776
591	8365	5765
592	8379	5751
593	8382	5729
594	8403	5719
595	8415	5704
596	8433	5693
597	8451	5681
598	8457	5662
599	8461	5640
600	8477	5628
601	8481	5607
602	8500	5596
603	8510	5579
604	8524	5565
605	8544	5555
606	8560	5542
607	8567	5523
608	8586	5512
609	8595	5495
610	8605	5478
611	8624	5467
612	8643	5456
613	8649	5437
614	8673	5429
615	8692	5418
616	8702	5401
617	8715	5387
618	8732	5374
619	8735	5354
620	8742	5335
621	8751	5318
622	8767	5305
623	8785	5294
624	8798	5279
625	8814	5266
626	8832	5254
627	8849	5241
628	8861	5226
629	8874	5211
630	8894	5201
631	8902	5183
632	8911	5166
633	8924	5151
634	8939	5138
635	8958	5126
636	8970	5111
637	8986	5098
638	9004	5087
639	9023	5075
640	9030	5057
641	9048	5045
642	9058	5029
643	9080	5019
644	9101	5009
645	9120	4998
646	9131	4982
647	9150	4970
648	9163	4955
649	9170	4937
650	9185	4924
651	9204	4912
652	9214	4896
653	9220	4878
654	9224	4858
655	9237	4843
656	9262	4835
657	9283	4825
658	9299	4812
659	9312	4797
660	9322	4780
661	9325	4761
662	9342	4748
663	9346	4729
664	9363	4716
665	9376	4702
666	9397	4691
667	9415	4679
668	9435	4668
669	9452	4655
670	9472	4644
671	9479	4627
672	9492	4612
673	9509	4599
674	9528	4587
675	9538	4571
676	9547	4555
677	9561	4541
678	9575	4526
679	9594	4515
680	9601	4497
681	9613	4482
682	9636	4472
683	9648	4457
684	9662	4443
685	9671	4427
686	9682	4411
687	9698	4398
688	9719	4387
689	9726	4369
690	9736	4353
691	9751	4340
692	9771	4328
693	9789	4316
694	9807	4303
695	9825	4291
696	9849	4281
697	9866	4268
698	9886	4257
699	9899	4242
700	9918	4230
701	9934	4217
702	9950	4203
703	9962	4188
704	9982	4177
705	9999	4164
706	10020	4152
707	10041	4141
708	10060	4129
709	10076	4115
710	10088	4100
711	10108	4088
712	10122	4074
713	10126	4056
714	10144	4043
715	10162	4030
716	10178	4017
717	10188	4001
718	10211	3991
719	10225	3976
720	10243	3964
721	10256	3949
722	10272	3935
723	10290	3923
724	10310	3910
725	10320	3894
726	10340	3882
727	10352	3868
728	10365	3853
729	10381	3839
730	10395	3825
731	10409	3811
732	10418	3795
733	10422	3776
734	10441	3764
735	10451	3748
736	10460	3733
737	10473	3718
738	10492	3705
739	10511	3693
740	10521	3677
741	10537	3663
742	10556	3651
743	10566	3635
744	10579	3621
745	10605	3610
746	10622	3597
747	10629	3580
748	10638	3565
749	10641	3547
750	10657	3533
751	10670	3518
752	10689	3506
753	10707	3493
754	10726	3480
755	10733	3464
756	10742	3448
757	10753	3433
758	10770	3419
759	10782	3405
760	10798	3391
761	10815	3378
762	10834	3365
763	10847	3350
764	10865	3337
765	10881	3324
766	10899	3311
767	10919	3298
768	10932	3284
769	10942	3268
770	10952	3253
771	10970	3239
772	10987	3226
773	11006	3213
774	11019	3199
775	11038	3186
776	11047	3170
777	11054	3154
778	11067	3139
779	11087	3127
780	11100	3112
781	11112	3097
782	11122	3082
783	11125	3065
784	11138	3050
785	11157	3037
786	11179	3025
787	11183	3008
788	11194	2993
789	11204	2978
790	11210	2962
791	11229	2949
792	11244	2935
793	11262	2922
794	11281	2909
795	11299	2895
796	11313	2881
797	11333	2868
798	11353	2856
799	11372	2843
800	11391	2830
801	11401	2814
802	11420	2801
803	11436	2787
804	11456	2775
805	11472	2761
806	11485	2746
807	11488	2729
808	11506	2716
809	11525	2703
810	11535	2688
811	11544	2672
812	11560	2659
813	11584	2647
814	11601	2633
815	11622	2620
816	11642	2607
817	11651	2592
818	11664	2577
819	11683	2564
820	11696	2550
821	11709	2535
822	11726	2521
823	11744	2508
824	11761	2494
825	11774	2480
826	11796	2467
827	11803	2451
828	11816	2437
829	11835	2424
830	11848	2409
831	11869	2396
832	11888	2383
833	11906	2369
834	11918	2355
835	11934	2341
836	11952	2327
837	11964	2312
838	11970	2297
839	11990	2283
840	11993	2267
841	12007	2253
842	12020	2238
843	12035	2224
844	12053	2211
845	12066	2196
846	12078	2181
847	12093	2167
848	12100	2152
849	12117	2138
850	12136	2124
851	12154	2111
852	12173	2097
853	12190	2084
854	12208	2070
855	12225	2056
856	12233	2041
857	12249	2027
858	12265	2013
859	12274	1998
860	12287	1983
861	12300	1969
862	12312	1954
863	12319	1939
864	12334	1925
865	12347	1910
866	12362	1896
867	12386	1883
868	12400	1869
869	12410	1854
870	12429	1840
871	12441	1826
872	12454	1811
873	12467	1797
874	12487	1783
875	12500	1769
876	12512	1754
877	12516	1739
878	12522	1723
879	12538	1709
880	12552	1695
881	12559	1680
882	12572	1665
883	12595	1652
884	12606	1638
885	12626	1624
886	12641	1610
887	12660	1596
888	12676	1582
889	12695	1569
890	12708	1554
891	12723	1540
892	12744	1527
893	12767	1513
894	12779	1499
895	12795	1485
896	12810	1471
897	12826	1456
898	12836	1442
899	12854	1428
900	12873	1414
901	12888	1400
902	12903	1386
903	12916	1371
904	12926	1356
905	12944	1343
906	12963	1329
907	12979	1315
908	12989	1300
909	13001	1285
910	13022	1272
911	13043	1258
912	13058	1244
913	13062	1229
914	13079	1215
915	13098	1201
916	13118	1187
917	13142	1173
918	13155	1159
919	13158	1144
920	13176	1130
921	13188	1115
922	13207	1101
923	13222	1087
924	13237	1073
925	13256	1059
926	13268	1044
927	13287	1030
928	13303	1016
929	13321	1002
930	13336	988
931	13360	974
932	13376	960
933	13391	946
934	13407	932
935	13426	918
936	13440	903
937	13455	889
938	13465	874
939	13482	860
940	13495	846
941	13504	831
942	13527	817
943	13538	803
944	13553	788
945	13569	774
946	13588	760
947	13608	746
948	13627	732
949	13639	717
950	13653	703
951	13669	689
952	13684	674
953	13707	660
954	13720	646
955	13730	631
956	13744	617
957	13762	603
958	13778	589
959	13781	574
960	13799	560
961	13806	545
962	13821	531
963	13842	516
964	13848	502
965	13864	487
966	13877	473
967	13893	459
968	13906	444
969	13919	430
970	13932	416
971	13951	401
972	13970	387
973	13986	373
974	14002	359
975	14021	344
976	14041	330
977	14054	316
978	14064	301
979	14089	287
980	14099	273
981	14112	258
982	14127	244
983	14143	229
984	14158	215
985	14165	201
986	14178	186
987	14187	172
988	14200	157
989	14206	143
990	14226	129
991	14245	114
992	14264	100
993	14287	86
994	14301	71
995	14311	57
996	14323	43
997	14339	28
998	14346	14
999	14358	0
