iter	Logloss
172	0.3590083882
173	0.3585092452
174	0.3575825187
175	0.357356504
176	0.3566637882
177	0.3566585543
178	0.3554583333
179	0.3540894772
180	0.3531413968
181	0.3523674407
182	0.3506850997
183	0.3505660724
184	0.3504841596
185	0.3502321079
186	0.3487565073
187	0.34820476
188	0.3474390222
189	0.3470401724
190	0.346262479
191	0.3453192551
192	0.3447170449
193	0.3441605617
194	0.3437393214
195	0.342488193
196	0.341461881
197	0.341391128
198	0.3408441712
199	0.3394821151
200	0.3390983049
201	0.339021013
202	0.3382993567
203	0.3372250789
204	0.3358040683
205	0.3352935938
206	0.3346326774
207	0.3343344504
208	0.3336715955
209	0.3329367864
210	0.3322866874
211	0.3314270425
212	0.3307180042
213	0.3299360722
214	0.3291443465
215	0.3288857083
216	0.3283855273
217	0.3278480187
218	0.3265680309
219	0.3258158881
220	0.3257980915
221	0.3257621503
222	0.3249339847
223	0.3245529703
224	0.3234194702
225	0.3230833708
226	0.3229476899
227	0.3218505378
228	0.3211412012
229	0.3208797287
230	0.3203787028
231	0.3197560753
232	0.3194253874
233	0.3186107265
234	0.318484038
235	0.3177241845
236	0.3175889811
237	0.3166483823
238	0.3160663245
239	0.3150292745
240	0.314940916
241	0.3147227694
242	0.3141787221
243	0.31361201
244	0.312862
245	0.3119437952
246	0.3113087258
247	0.3102298028
248	0.3101566109
249	0.3100590205
250	0.3097847624
251	0.3091872036
252	0.3082731099
253	0.3074010257
254	0.3067156515
255	0.3066403474
256	0.3065852133
257	0.3058333615
258	0.3057452819
259	0.3052434017
260	0.3042351179
261	0.3035847091
262	0.302360234
263	0.3017285538
264	0.3012773024
265	0.3007135985
266	0.2995033646
267	0.2992710195
268	0.2984859411
269	0.2978276839
270	0.2974824378
271	0.2963250231
272	0.2957181521
273	0.2951663118
274	0.2945619507
275	0.2943645888
276	0.2932853806
277	0.2924002562
278	0.2922824607
279	0.2917420241
280	0.2908468349
281	0.2902221081
282	0.2896685801
283	0.2885408257
284	0.2879354831
285	0.2867715877
286	0.2859722042
287	0.2856432643
288	0.2850039842
289	0.2849495583
290	0.2838912677
291	0.283035835
292	0.282469136
293	0.2820471622
294	0.2815463873
295	0.2809338187
296	0.280326331
297	0.2802363727
298	0.2799364855
299	0.2792285378
300	0.2788954612
301	0.2788098747
302	0.2775890706
303	0.2769662278
304	0.2762141194
305	0.2749139042
306	0.273679047
307	0.2728517407
308	0.2725797491
309	0.2722033423
310	0.27101582
311	0.2699874932
312	0.2695979187
313	0.2689636996
314	0.2684189916
315	0.2677788469
316	0.2663822401
317	0.2656204785
318	0.2650500625
319	0.2637520551
320	0.2630816758
321	0.2623234487
322	0.2613326688
323	0.260341011
324	0.2598345846
325	0.2595321381
326	0.2587858606
327	0.2582334352
328	0.2570204939
329	0.2568477319
330	0.2566605928
331	0.2559538593
332	0.2553797313
333	0.2552243754
334	0.2546141879
335	0.2538676101
336	0.2535819011
337	0.2528452201
338	0.2524974081
339	0.2518922532
340	0.2513259896
341	0.2511105108
342	0.2500235865
343	0.2496029068
344	0.2487451988
345	0.2482236425
346	0.2480501139
347	0.2475370211
348	0.2471636345
349	0.2463249475
350	0.2462103349
351	0.2454144489
352	0.2450325931
353	0.2440197676
354	0.2438381176
355	0.2437323057
356	0.2434225683
357	0.2420155632
358	0.2411729459
359	0.2409189279
360	0.2402950653
361	0.2398056154
362	0.2390145934
363	0.2378419453
364	0.2376835844
365	0.2374690485
366	0.236541749
367	0.2361847379
368	0.2355028114
369	0.2350150142
370	0.2344372212
371	0.2339265803
372	0.233259167
373	0.2325965332
374	0.2321604129
375	0.2316399996
376	0.2305268227
377	0.2297147319
378	0.2290888272
379	0.2287035118
380	0.228584163
381	0.2277527678
382	0.2271466033
383	0.2267380292
384	0.2264021716
385	0.2260476957
386	0.2257790407
387	0.2249616791
388	0.2241861337
389	0.2233218332
390	0.2230371413
391	0.2228330466
392	0.2223574299
393	0.2216114527
394	0.2211014869
395	0.2210077948
396	0.2202581017
397	0.2200161771
398	0.2193822504
399	0.2186820376
400	0.2177342954
401	0.2176315237
402	0.2173917507
403	0.2172219165
404	0.2164167614
405	0.216051305
406	0.2151790215
407	0.2149782634
408	0.2142636552
409	0.213891331
410	0.2131749441
411	0.2129087665
412	0.2128377876
413	0.2124648153
414	0.2121778263
415	0.2118604415
416	0.2113379171
417	0.2111426467
418	0.2104191309
419	0.2095260955
420	0.2094784928
421	0.2089385949
422	0.2088719731
423	0.2082684278
424	0.2077427859
425	0.2075597383
426	0.2071925577
427	0.2068207327
428	0.2067982403
429	0.206173584
430	0.2061145961
431	0.2058127161
432	0.2055455087
433	0.2052949087
434	0.204785253
435	0.2038072901
436	0.2033864178
437	0.2028345802
438	0.2019830132
439	0.2015681519
440	0.2011719033
441	0.2009609967
442	0.2004720362
443	0.2000682809
444	0.1989823903
445	0.1983208981
446	0.198026799
447	0.197373385
448	0.1970221711
449	0.1969971028
450	0.1967616642
451	0.1966574761
452	0.1963145956
453	0.1959951739
454	0.1959132413
455	0.1954861371
456	0.1945817169
457	0.1940749268
458	0.1937617874
459	0.1932031216
460	0.1923619844
461	0.1918796949
462	0.1915116244
463	0.1909411709
464	0.1904899573
465	0.1903286705
466	0.1896561788
467	0.1892693678
468	0.189013428
469	0.1887693863
470	0.1884387242
471	0.1881727875
472	0.1876512405
473	0.1870320215
474	0.186671198
475	0.1865897613
476	0.1859400922
477	0.1853262446
478	0.1848761198
479	0.1840273221
480	0.1839040513
481	0.1834517027
482	0.1830628119
483	0.1829277765
484	0.1825143825
485	0.1824098293
486	0.1819836152
487	0.1818307162
488	0.1811975218
489	0.1806080719
490	0.1802670876
491	0.1799311601
492	0.1794392773
493	0.1792418349
494	0.1788569936
495	0.1786936596
496	0.1784259055
497	0.1782022332
498	0.1781230772
499	0.1777348864
500	0.1773218706
501	0.1770607051
502	0.1764740527
503	0.1763148888
504	0.1757953838
505	0.1755578356
506	0.1752730358
507	0.1752287599
508	0.1750522671
509	0.1748812109
510	0.1747190898
511	0.1744665873
512	0.173708337
513	0.1734860397
514	0.1730556986
515	0.1728955732
516	0.1728384041
517	0.1726274624
518	0.1724485434
519	0.1721154611
520	0.1719136746
521	0.1715654696
522	0.1712494273
523	0.1711625177
524	0.1708948588
525	0.1702663106
526	0.1702144369
527	0.1699041976
528	0.169789164
529	0.1692395327
530	0.1686519319
531	0.1683664235
532	0.1676948424
533	0.1674227815
534	0.1672293409
535	0.1669849134
536	0.1668117741
537	0.1664824259
538	0.1664397647
539	0.1658440872
540	0.1651322574
541	0.1645260414
542	0.1638026789
543	0.1637420926
544	0.1634792087
545	0.1633706594
546	0.1630300772
547	0.1624033393
548	0.1620449194
549	0.1617161619
550	0.1614218159
551	0.1610888159
552	0.1605609042
553	0.1603860557
554	0.1602259066
555	0.159977791
556	0.1595099703
557	0.1591335255
558	0.1589185245
559	0.1583381224
560	0.1581426901
561	0.1580451034
562	0.1577099018
563	0.1576656536
564	0.1573630504
565	0.1572273731
566	0.1568439025
567	0.1565288291
568	0.1560738008
569	0.1558333387
570	0.1554514223
571	0.1549052564
572	0.1545939885
573	0.1544752151
574	0.1540158164
575	0.1539508708
576	0.1538988178
577	0.1533766289
578	0.1531992078
579	0.1527963006
580	0.1525746198
581	0.1524355052
582	0.1521945388
583	0.1519511436
584	0.151722589
585	0.1512680333
586	0.1511469308
587	0.1509458102
588	0.1504795268
589	0.1500368327
590	0.1496574263
591	0.149112825
592	0.1488898459
593	0.148819895
594	0.1483934211
595	0.1480085882
596	0.1476410803
597	0.1471212994
598	0.1467965146
599	0.1466211447
600	0.1465791025
601	0.1462048407
602	0.1460694716
603	0.1458854457
604	0.1455822724
605	0.1451088248
606	0.1448345566
607	0.144610806
608	0.1442361466
609	0.1437905592
610	0.1434954607
611	0.14325092
612	0.1432207318
613	0.1429237816
614	0.1426516175
615	0.1424687503
616	0.1422189143
617	0.1421768644
618	0.142130006
619	0.1421009951
620	0.1419185845
621	0.1418173173
622	0.1414164309
623	0.1412624635
624	0.1411658369
625	0.1409253566
626	0.1404493736
627	0.140121441
628	0.1396986311
629	0.1396427305
630	0.1393069112
631	0.1391998123
632	0.1389369496
633	0.1388267297
634	0.1386995596
635	0.1383580196
636	0.1380092633
637	0.1376040513
638	0.1369834479
639	0.1367466497
640	0.13656873
641	0.1361253617
642	0.13581666
643	0.1356444004
644	0.1351922124
645	0.1351652044
646	0.1351144595
647	0.1347899503
648	0.1345998588
649	0.1345619853
650	0.134291859
651	0.1339400393
652	0.1335951936
653	0.1331918223
654	0.1325712885
655	0.132551421
656	0.132339542
657	0.1321614971
658	0.1317009373
659	0.131453531
660	0.1313279639
661	0.1311681987
662	0.1310559929
663	0.1310307507
664	0.1308325006
665	0.1306864047
666	0.1305586006
667	0.130424933
668	0.1299541716
669	0.129633161
670	0.1296084029
671	0.1291328703
672	0.1286528076
673	0.1284137308
674	0.1281923811
675	0.127848089
676	0.1276123648
677	0.1275059499
678	0.1273539058
679	0.1269968648
680	0.1267899841
681	0.126761465
682	0.1263896693
683	0.1261664817
684	0.1259550683
685	0.1255849821
686	0.1252512218
687	0.1249630238
688	0.1248135136
689	0.1246587271
690	0.1245125166
691	0.1242270359
692	0.1238019474
693	0.1233626152
694	0.1233141738
695	0.1229948059
696	0.1229117255
697	0.1227875163
698	0.1226708787
699	0.1223881784
700	0.1220943503
701	0.1218350334
702	0.1214518181
703	0.1212855585
704	0.1212235489
705	0.1212037504
706	0.1210063897
707	0.1207654758
708	0.1207199163
709	0.1203674458
710	0.1202389268
711	0.1198866776
712	0.1196268705
713	0.1195832843
714	0.1195453065
715	0.1194800366
716	0.1192803986
717	0.1192085006
718	0.1190870029
719	0.1189866708
720	0.1186494881
721	0.1184638035
722	0.11840092
723	0.1183485849
724	0.1182905619
725	0.1180996271
726	0.1178763172
727	0.1178356684
728	0.1175663874
729	0.1174531419
730	0.1173601083
731	0.1173512195
732	0.1171650486
733	0.1171355228
734	0.1168180723
735	0.1167226474
736	0.1166583368
737	0.1165535258
738	0.1161607908
739	0.1157870199
740	0.1156242254
741	0.1153012391
742	0.1150229194
743	0.11479602
744	0.1146172422
745	0.1145226331
746	0.1144128918
747	0.1142106076
748	0.1139477284
749	0.1137472746
750	0.1134613222
751	0.113304327
752	0.1132297804
753	0.1129290353
754	0.1125331478
755	0.1123330924
756	0.1123204558
757	0.1121908488
758	0.1121030307
759	0.1119637689
760	0.1118400184
761	0.1117465899
762	0.1116229327
763	0.1114571541
764	0.1113851468
765	0.1111995024
766	0.1109359817
767	0.1108346249
768	0.1107182311
769	0.1106066645
770	0.1105222591
771	0.1100742312
772	0.1099944212
773	0.1098897252
774	0.1097528597
775	0.109731685
776	0.1095591922
777	0.1095104451
778	0.1093883438
779	0.1091063197
780	0.1089723405
781	0.1088871132
782	0.1088612026
783	0.1087117057
784	0.108395424
785	0.108197135
786	0.1081263187
787	0.107823469
788	0.1077170012
789	0.1075574904
790	0.1074960804
791	0.1071650635
792	0.1071429953
793	0.1068236998
794	0.1066431281
795	0.1063663885
796	0.1062678541
797	0.1059724571
798	0.1057887966
799	0.1056056473
800	0.1055850537
801	0.1055409827
802	0.1054184944
803	0.1053345878
804	0.1049956989
805	0.1049426022
806	0.1049085458
807	0.1047352342
808	0.104473967
809	0.1040460906
810	0.1039858358
811	0.1036786379
812	0.1034964034
813	0.1031994449
814	0.1029317777
815	0.1026640843
816	0.1022817106
817	0.1020071541
818	0.1017464855
819	0.1014838087
820	0.1013694233
821	0.1012042832
822	0.1008987639
823	0.1008632125
824	0.1007243583
825	0.1006222587
826	0.1004304984
827	0.1003001404
828	0.1002068158
829	0.09987547846
830	0.09955358025
831	0.09946243764
832	0.09925242729
833	0.09898169513
834	0.09891849697
835	0.09882103284
836	0.09875005497
837	0.09864510265
838	0.0984976762
839	0.09839206106
840	0.09829167685
841	0.09820956628
842	0.0981186071
843	0.09799229471
844	0.09786340967
845	0.09768310178
846	0.09763675157
847	0.09754715203
848	0.09735195044
849	0.09720473607
850	0.09713812958
851	0.09692901472
852	0.09669813208
853	0.09653609094
854	0.09628854978
855	0.0962587412
856	0.09616446205
857	0.09589496594
858	0.0956695396
859	0.09555556355
860	0.09542864414
861	0.09522346269
862	0.09493762882
863	0.09488740325
864	0.09449155342
865	0.0944271797
866	0.09421631857
867	0.09407094033
868	0.09405902075
869	0.09391434438
870	0.09367641969
871	0.09361834492
872	0.09358730409
873	0.09350684782
874	0.09349434414
875	0.09336155627
876	0.09321377806
877	0.09301429262
878	0.09293961372
879	0.09285324459
880	0.09283586253
881	0.09272056852
882	0.09254109885
883	0.0924866519
884	0.09244632494
885	0.09231168509
886	0.09225634209
887	0.09202907962
888	0.09187581298
889	0.09172687785
890	0.09162126842
891	0.09137031587
892	0.09135728946
893	0.09124471027
894	0.09102095249
895	0.09090223116
896	0.09083434191
897	0.09068969445
898	0.0904074921
899	0.09039817025
900	0.09018440866
901	0.09002738089
902	0.08985983069
903	0.08981793189
904	0.08964285893
905	0.08960348975
906	0.08945865885
907	0.08937471508
908	0.08928078948
909	0.08926926562
910	0.08900728598
911	0.08877874512
912	0.08862946643
913	0.08855917678
914	0.08831675425
915	0.08808770918
916	0.08799370244
917	0.08779567329
918	0.087746201
919	0.08763027951
920	0.08743526494
921	0.08729383553
922	0.08720299169
923	0.08716811762
924	0.08709069159
925	0.08690812694
926	0.08680286187
927	0.08668012345
928	0.08641372185
929	0.08608638513
930	0.08606783208
931	0.08594866671
932	0.08580435238
933	0.08577146182
934	0.08574860479
935	0.0856916165
936	0.08557692907
937	0.08548785916
938	0.08538143117
939	0.0852894887
940	0.08522335811
941	0.08511185069
942	0.08508720493
943	0.08506207326
944	0.08489584064
945	0.08476203716
946	0.08455828947
947	0.08441443881
948	0.08432921778
949	0.08422163185
950	0.08404872109
951	0.08394304338
952	0.0838823112
953	0.0837738925
954	0.08366338308
955	0.08358798402
956	0.08351574094
957	0.08339044139
958	0.08317903025
959	0.0830871504
960	0.08304152822
961	0.08290377065
962	0.08285030345
963	0.08273708548
964	0.08266835852
965	0.08262096253
966	0.08250416361
967	0.08249511957
968	0.08229121524
969	0.08225755914
970	0.082180193
971	0.08216946877
972	0.08213461968
973	0.08200629549
974	0.08181369778
975	0.08158845803
976	0.08151326381
977	0.08142169443
978	0.08136396229
979	0.08130822974
980	0.08113503688
981	0.08105021494
982	0.08088154683
983	0.08082768902
984	0.08071441101
985	0.08054831027
986	0.08037353664
987	0.08033414529
988	0.08029262988
989	0.08019936576
990	0.08005481919
991	0.07993884235
992	0.0798254054
993	0.07966126582
994	0.07954527085
995	0.07948850052
996	0.07942939247
997	0.07935417468
998	0.07928085283
999	0.07918359294
